startingleadership_title;Starting Leadership.;;;;;;;;;;;;x;;;
startingleadership_desc;Lets you start with some generals.;;;;;;;;;;;;x;;;
notechs_title;Starting Techs.;;;;;;;;;;;;x;;;
notechs_desc;If you don't have starting techs defines then this will give you some.;;;;;;;;;;;;x;;;
phi_becomestate_NEWS_LONG;The fighting in the Phillipines has finally ended! After a long and gruelling geurilla war between the remaining American and Japanese forces the American forces stand victorious. The frequent importation of American troops and material during the 15 year long struggle has lead to a dependence and fraternal relationship between the Phillipine people and the American Military Administration. With peace finally returning to the islands the Phillipine Civil Government has formally requested statehood with the American government, with a swift approval strongly expected.;;;;;;;;;;;;x;;;
phi_becomestate_NEWS_MEDIUM;The Phillipines has been granted statehood! After a gruelling 15 year guerilla war recently won with the continued American support, the Phillipines has opted to join the Union!;;;;;;;;;;;;x;;;
phi_becomestate_NEWS_SHORT;All welcome the new 50th state!;;;;;;;;;;;;x;;;
EVTDESC500016_NEWS_LONG;The fighting in the Phillipines has finally ended! After a long and gruelling geurilla war between the remaining American and Japanese forces the American forces stand victorious. The frequent importation of American troops and material during the 15 year long struggle has lead to a dependence and fraternal relationship between the Phillipine people and the American Military Administration. With peace finally returning to the islands the Phillipine Civil Government has formally requested statehood with the American government, with a swift approval strongly expected.;;;;;;;;;;;;x;;;
EVTDESC500016_NEWS_MEDIUM;The Phillipines has been granted statehood! After a gruelling 15 year guerilla war recently won with the continued American support, the Phillipines has opted to join the Union!;;;;;;;;;;;;x;;;
EVTDESC500016_NEWS_SHORT;All welcome the new 50th state!;;;;;;;;;;;;x;;;
demorus_title;Unite with the Russian Federal Republic.;;;;;;;;;;;;x;;;
demorus_desc;Some like minded groups have formed alongside us during the fall of the Soviet Union. Our differences are negligible and our relationship amiciable; we should unite!;;;;;;;;;;;;x;;;
westalaska_title;The West Alaskan Government forms!;;;;;;;;;;;;x;;;
westalaska_desc;After a lengthy process we have finally kicked the haunting vistages of communism out of the region. We can finally unite the people under a democratic flag. The Americans have been a continued source of economic assistance during this endeavor, what's more suitable than for us to declare ourselves the Republic of West Alaska!;;;;;;;;;;;;x;;;
ciafunding_title;American Funding.;;;;;;;;;;;;x;;;
ciafunding_desc;Some men from overseas today arrived and informed us that a few polititians in America believe there is something worth salvaging in the remains of Russia. They claim that if we pay a little lip service to the American government then they can convince these polititians to approve economic assistance to us.;;;;;;;;;;;;x;;;
shippurchase_title;American ship purchase.;;;;;;;;;;;;x;;;
shippurchase_desc;Our naval facilities cannot keep up with our larger neighbours; it is necessary to rely on our foreign friends to make up for the gap.;;;;;;;;;;;;x;;;
WA_capital_title;Pride of the Fleet.;;;;;;;;;;;;x;;;
WA_capital_desc;What we cannot make up for in quantity, we will make up for in quality! It is time we pool our resources towards a mighty ship worthwhile of being our pride!;;;;;;;;;;;;x;;;
Form_SCA_title;Form the North Sea Pragmatic Alliance.;;;;;;;;;;;;x;;;
Form_SCA_desc;Despite our differences all North Sea countries face perilous threats to our independence. We should unite for the purpose of mutual defense!;;;;;;;;;;;;x;;;
synthrubber_factory; Synthetic Rubber Factory;;;;;;;;;;;;x;;;
rus_uni;Russian Unification;;;;;;;;;;;;x;;;
rus_uni_short;Russian Unification of $STATE$;;;;;;;;;;;;x;;;
rus_uni_setup;Acquire $STATE$;;;;;;;;;;;;x;;;
tiny_conquest;Tiny Conquest;;;;;;;;;;;;x;;;
tiny_conquest_short;Annex $RECIPIENT$;;;;;;;;;;;;x;;;
tiny_conquest_setup;Annex $RECIPIENT$;;;;;;;;;;;;x;;;
acquire_capital;Take Capital;;;;;;;;;;;;x;;;
acquire_capital_short;Take $RECIPIENT$ capital;;;;;;;;;;;;x;;;
acquire_capital_setup;Take $RECIPIENT$ capital;;;;;;;;;;;;x;;;
negotiated_transfer;Negotiated Transfer;;;;;;;;;;;x
gge_2_desc;The recent unrest at home and in the east has proven significant threats exist in the German Reich. We can no longer afford independent rule in the east. §R Our puppets may refuse. In that case we will have to go to war!;;;;;;;;;;;;x
gge_3_title;Assert our authority east of Prussia!;;;;;;;;;;;;x
gge_3_desc;The declaration of independence by the reichskommissariats in the east beyond Poland has come as a shock to the already unstable German political landscape. Their loyalty to Germany must be enforced. §R They may refuse to come back to us. In that case we will have to go to war!;;;;;;;;;;;;x
gge_4_title;Tame the partisan states.;;;;;;;;;;;;x
gge_4_desc;Partisans have siezed the lebensraum! We must scramble immediately to secure direct control before they organize and become too establised to root out.;;;;;;;;;;;;x
BHge_1_title;Restore order west of Prussia.;;;;;;;;;;;;x
BHge_1_desc;It is time we put down the rebellious reichskommissariats in our backyard. These democracies will not stand!;;;;;;;;;;;;x
BHge_2_title;Assert our authority west of Prussia!;;;;;;;;;;;;x
BHge_2_desc;The declaration of independence by the reichskommissariats in central Europe has come as a shock to the already unstable German political landscape. Their loyalty to Germany must be enforced. §R They may refuse to come back to us. In that case we will have to go to war!;;;;;;;;;;;;x
BHge_3_title;Tame the partisan states.;;;;;;;;;;;;x
BHge_3_desc;Partisans have siezed the lebensraum! We must scramble immediately to secure the reichskommissariat governments before they organize and become too establised to root out.;;;;;;;;;;;;x
BHge_4_title;Assert our authority east of Prussia!;;;;;;;;;;;;x
BHge_4_desc;The declaration of independence by the reichskommissariats in the east beyond Poland has come as a shock to the already unstable German political landscape. Their loyalty to Germany must be enforced. §R They may refuse to come back to us. In that case we will have to go to war!;;;;;;;;;;;;x
sge_1_title;Restore order west of Prussia.;;;;;;;;;;;;x
sge_1_desc;It is time we put down the rebellious reichskommissariats in our backyard. These democracies will not stand!;;;;;;;;;;;;x
sge_2_title;Tame the partisan states.;;;;;;;;;;;;x
sge_2_desc;Partisans have siezed the lebensraum! We must scramble immediately to secure National Socialist control before they organize and become too establised to root out.;;;;;;;;;;;;x
nuke_whitepeace_title;Issue a Nuclear Ultimatum!;;;;;;;;;;;;x
nuke_whitepeace_desc;Our current war has become untenable! We must demand a cease fire immediately! \n§RThe nuclear strike will take 12 months to prepare. If any country has its territory in a continent sieged down 50% then they will not be counted as having range from that continent. \nIf they accept then both our spheres will white peace our current wars with eachother.;;;;;;;;;;;;x
nuke_surrender_title;Use nuclear threat to demand surrender!;;;;;;;;;;;;x
nuke_surrender_desc;The end to our current conflict is looking to be a distant hope. We must use our nuclear arsenal to end this conflict in our favor quickly!;;;;;;;;;;;;x
EVENT500071desc;The emergence of a dominant unifier of Russia has finally occured. With the rise of major powers in Russia and the dissolution of local warlords comes a moment of peace and stability in the region. Anarchy no longer rules Russia, and the constant warfare has finally petered out.;;;;;;;;;;;;x
FIN_1;Leningrad Corridor;;;;;;;;;;;;x
make_puppet_unlimited;Make puppet;Créer un pays satellite;Erschafft eine Marionette;;;;;;;;;;;x
make_puppet_unlimited_short;$RECIPIENT$ becomes a puppet of $ACTOR$;$RECIPIENT$ devient satellite de $ACTOR$;$RECIPIENT$ wird eine Marionette von $ACTOR$;;;;;;;;;;;x
make_puppet_unlimited_setup;$RECIPIENT$ becomes a puppet of $ACTOR$;$RECIPIENT$ devient satellite de $ACTOR$;$RECIPIENT$ wird eine Marionette von $ACTOR$;;;;;;;;;;;x
make_puppet_unlimited_desc;Become a puppet;Devenir un satellite;Werdet eine Marionette;;;;;;;;;;;x
integrate_colonies_title;Imperial Federation;;;;;;;;;;;x
integrate_colonies_desc;The Imperial Federation was a series of proposals in the late 19th and early 20th centuries to create a federal union to replace the existing British Empire, presenting it as an alternative to colonial imperialism. The aftermath of World War 2 has led to this proposal being a necessity for the survival of British interests.;;;;;;;;;;;x
ija_boost_1;Draft Reforms;;;;;;;;;;;x
ija_boost_2;Troop Training Stringency;;;;;;;;;;;x
ija_funding;I.J.A. Funding Priority;;;;;;;;;;;x
ijn_boost_1;Dockyard Streamlining;;;;;;;;;;;x
ijn_boost_2;Naval Officer Training;;;;;;;;;;;x
ijn_funding;I.J.N. Funding Priority;;;;;;;;;;;x
fund_ija_title;Side with the I.J.A.;;;;;;;;;;;x
fund_ija_desc;The I.J.A and I.J.N. has been at odds ever since World War 2 over industrial resources and funding. This interservice rivalry has been a constant political problem and it is time to decide once and for all which shall reign supreme over the Japanese armed forces. §RThis will unlock further decisions to boost the army after the funding modifier has run its course. This is mutually exclusive with funding the I.J.N. and it's better to choose one earlier rather than later.;;;;;;;;;;;x
boost_ija_1_title;Reform I.J.A. draft standards.;;;;;;;;;;;x
boost_ija_1_desc;Draftees that don't pass the standards for service in the I.J.A are routinely passed along to the I.J.N. By ending this practice the I.J.A. can shore up its numbers with normally wasted recruits. §RThis will also slightly increase the soldier promotion rate.;;;;;;;;;;;x
boost_ija_2_title;Reform I.J.A. training standards.;;;;;;;;;;;x
boost_ija_2_desc;Japanese tactical doctrine insists vigorously on the inherent superiority of the offense, and Field Service Regulations state that the offensive should be resolutely taken. The object of all maneuver is to close quickly with the enemy so that the assumed Japanese superiority in close combat can be realized to the utmost. Even when the enemy strength is markedly superior, or when the Japanese commander has been placed temporarily on the defensive, he is supposed to use every effort to regain the offensive and take the initiative.;;;;;;;;;;;x
fund_ijn_title;Side with the I.J.N.;;;;;;;;;;;x
fund_ijn_desc;The I.J.A and I.J.N. has been at odds ever since World War 2 over industrial resources and funding. This interservice rivalry has been a constant political problem and it is time to decide once and for all which shall reign supreme over the Japanese armed forces. §RThis will unlock further decisions to boost the navy after the funding modifier has run its course. This is mutually exclusive with funding the I.J.A. and it's better to choose one earlier rather than later.;;;;;;;;;;;x
boost_ijn_1_title;Streamlined I.J.N. shipbuilding.;;;;;;;;;;;x
boost_ijn_1_desc;With the competition for resources with the I.J.A. now over, we can focus on overhauling our military shipyards.;;;;;;;;;;;x
boost_ijn_2_title;Reorganized I.J.N. officer corps.;;;;;;;;;;;x
boost_ijn_2_desc;The I.J.N. officer corps has been bloated from complacency after the victory in the Pacific. New ideas and new officers are needed to maintain our mastery over the sea.;;;;;;;;;;;x
AOT_will_receive_title;Request control of AOT;;;;;;;;;;;;x
AOT_will_receive_desc;This will request control of allied occupied territory from other players. Please note they must have choosen the decision to enable giving AOT control for the request to go through. It can be reversed at any time.;;;;;;;;;;;;x
AOT_will_give_title;Enable Giving AOT Control;;;;;;;;;;;;x
AOT_will_give_desc;This will allow us to give control of allied occupied territory to other players. It must be activated before a player chooses to request control of allied occupied territory. It can be reversed at any time.;;;;;;;;;;;;x
AOT_will_not_give_title;Disable Giving AOT control;;;;;;;;;;;;x
AOT_will_not_give_desc;This will prevent us from getting events when other players request control of allied occupied territory. It can be reversed at any time.;;;;;;;;;;;;x
show_util_title;Show MP Utility;;;;;;;;;;;;x
show_util_desc;Show MP Utility;;;;;;;;;;;;x
hide_util_title;Hide MP Utility;;;;;;;;;;;;x
hide_util_desc;Hide MP Utility;;;;;;;;;;;;x
campaign_timer;Campaign Timer;;;;;;;;;;;;x
campaign_show_title;Show American Election Campaigns;;;;;;;;;;;;x
campaign_show_desc;Shows American Election Campaigns. You can choose a campaign every 4 years. The campaign will remain active until you choose another.;;;;;;;;;;;;x
campaign_hide_title;Hide American Election Campaigns;;;;;;;;;;;;x
campaign_hide_desc;Hides American Election Campaigns. You can choose a campaign every 4 years. The campaign will remain active until you choose another.;;;;;;;;;;;;x
campaign_rural_liberal_title;Democrat Campaigns in Rural Areas;;;;;;;;;;;;x
campaign_rural_liberal_desc;a;;;;;;;;;;;;x
campaign_rural_conservative_title;Republican Campaigns in Rural Areas;;;;;;;;;;;;x
campaign_rural_conservative_desc;a;;;;;;;;;;;;x
campaign_urban_liberal_title;Democrat Campaigns in Urban Areas;;;;;;;;;;;;x
campaign_urban_liberal_desc;a;;;;;;;;;;;;x
campaign_urban_conservative_title;Republican Campaigns in Urban Areas;;;;;;;;;;;;x
campaign_urban_conservative_desc;a;;;;;;;;;;;;x
AA_reform_title;Civil Rights Act of $YEAR$;;;;;;;;;;;;x
AA_reform_desc;The Civil Rights Act of $YEAR$ is a landmark civil rights and labor law in the United States that outlaws discrimination based on race, color, religion, sex, and national origin. It prohibits unequal application of voter registration requirements, racial segregation in schools and public accommodations, and employment discrimination.\n§GThe Racial Desegregation and Militant Black Nationalism modifiers will spread from Memphis gradually over time. Once every province in the deep south has one of them, you may pass the Civil Rights Act. §RIf there are more Militant modifiers than Desegregation modifiers then you will fall into civil war! Militant modifiers spread faster when Minority American lower class pops have militancy greater than 7 in a province or neighbour. Desegregation spreads faster when when Minority American lower class pops have militancy greater than 5 but less than 8 in a province or neighbour. §YThis decision will automatically be taken once the prerequisites are filled.;;;;;;;;;;;;x
AA_reform_desc_alt;The Civil Rights Act of $YEAR$ is a landmark civil rights and labor law in the United States that outlaws discrimination based on race, color, religion, sex, and national origin. It prohibits unequal application of voter registration requirements, racial segregation in schools and public accommodations, and employment discrimination. The act remains one of the most significant legislative achievements in American history.;;;;;;;;;;;;x
brg_boers_title;Covert Funding For Boer Separatists.;;;;;;;;;;;;x
brg_boers_desc;It would be prudent to destabilize the South African Regime. If they dismantle German Africa we could lose the entire continent to democracy!;;;;;;;;;;;;x
brg_core_title;Develop Occupation Into Settlement.;;;;;;;;;;;;x
brg_core_desc;The underlying motive of the post-war occupation of western Europe was always more than a military matter. The presence of German settlement not only allows the lessening of occupation resistance, but also allows integration of the land into the Greater German homeland. §R Any French, Dutch, or Belgian core states where a province has become majority German will automatically become a core Burgundy state from now on, skipping the normal lengthy core process.;;;;;;;;;;;;x
EVENTDESC500075;The underlying motive of the post-war occupation of western Europe was always more than a military matter. The presence of German settlement not only allows the lessening of occupation resistance, but also allows integration of the land into the Greater German homeland.;;;;;;;;;;;;x
csa_wins_title;Segregation Ended;;;;;;;;;;;;x
csa_wins_desc;With the complete abandonment of the south by the federal government we can finally 'end' segregation our own way!;;;;;;;;;;;;x
law_of_return_title;Enact the Law of Return.;;;;;;;;;;;;x
law_of_return_desc;The Law of Return is an Israeli law which gives Jews, people with one or more Jewish grandparent, and their spouses the right to relocate to Israel and acquire Israeli citizenship.;;;;;;;;;;;;x
greater_israel_title;Claim Greater Israel.;;;;;;;;;;;;x
greater_israel_desc;Greater Israel is a biblical and political expression used by irredentists to refer to the Arabic land promised to the Jews in the Old Testament.;;;;;;;;;;;;x
irgun_coup_title;Etzel Coup.;;;;;;;;;;;;x
irgun_coup_desc;The Irgun (lit. "The National Military Organization in the Land of Israel"), or Etzel, is a Zionist paramilitary organization operating in the Governorate of the Levant. The Irgun has been viewed as a terrorist organization by many in the Italian press and their policy is based on the doctrine of Revisionist Zionism by Ze'ev Jabotinsky. In $YEAR$ due to a combination of general unrest and the shifting political focus of Italy the organization was able to sieze control of many state apparatuses and coup the current government.;;;;;;;;;;;;x
rus_colonize;Law and order restoration;;;;;;;;;;;;x
rus_colonizing_title;Reclaim the bombing regions.;;;;;;;;;;;;x
rus_colonizing_desc;In the decades since World War 2 Germany has used eastern Europe as a training ground for their air force, blasting any Russian settlements that they see on their borders. This practice has lead to the the population in these regions being scattered and solitary, stopping any possibility of governmental organization. With the onset of the German civil war this bombing practice has ended and it is now possible for us to gain control of these lands again. §R Winning a war with the Russian unification CB will reset the timer for this decision early.;;;;;;;;;;;;x
spying;Spy program in progress.;;;;;;;;;;;;x
spy_unrest;Foreign Propaganda;;;;;;;;;;;;x
form_spy_agency_title;Form a national intelligence agency.;;;;;;;;;;;;x
form_spy_agency_desc;Construct an intelligence agency in order to conduct spy programs abroad. §R Spy programs can only be done by GPs against other GPs.;;;;;;;;;;;;x
spy_port_strike_title;Sabotage dockyards.;;;;;;;;;;;;x
spy_port_strike_desc;This spy program will destroy a port in another nation. (There is no way to remove just one level so the whole port is destroyed. Sorry! Technical limitations. The program has a high failure rate to balance this.);;;;;;;;;;;;x
spy_research_title;Steal research.;;;;;;;;;;;;x
spy_research_desc;This spy program will steal research points from another nation.;;;;;;;;;;;;x
spy_WE_title;Spread propaganda abroad.;;;;;;;;;;;;x
spy_WE_desc;This spy program will increase the militancy and war exhaustion of another nation.;;;;;;;;;;;;x
spy_show_title;Show spy programs.;;;;;;;;;;;;x
spy_hide_title;Hide spy programs.;;;;;;;;;;;;x
spy_show_desc;Show spy programs.;;;;;;;;;;;;x
spy_hide_desc;Hide spy programs.;;;;;;;;;;;;x
regent1;Death of a regent.;;;;;;;;;;;;x
regent2;The ailing health of the high regent Miklos Horthy has finally caught up to him. Despite living a long and fulfilling life in his homeland he never officially declared a successor to the position of regent, leaving some question as to the future of the country.;;;;;;;;;;;;x
regent3;The late admiral's son, Istvan Horthy, will succeed him. §R (Further decisions will unlock.);;;;;;;;;;;;x
regent4;Bela Imredy, the prime minister, will take control of the country!;;;;;;;;;;;;x
demo_hung;Democracy Established;;;;;;;;;;;;x
regent_habsburg_title;Invite Otto von Habsburg.;;;;;;;;;;;;x
regent_habsburg_desc;Despite the late Miklos Horthy's opposition to the Habsburgs and their failed attempts to return in the 1920's, they remain the only royal family with a legitimate claim to the Hungarian throne. Otto von Habsburg's vocal support for democracy aligns with Istvan Horthy's own antimonarchy leanings and makes him the logical choice. This will undoubtedly anger the Germans, who hold the Habsburg's main claim of Austria.;;;;;;;;;;;;x
hungary_austria_title;Reunite Austria and Hungary.;;;;;;;;;;;;x
hungary_austria_desc;After the ascendancy of Otto von Habsburg to the Hungarian throne few could predict the liberation of his Austrian homeland. Despite being the King in name, the Hungarian politicalscape dominates the new union.;;;;;;;;;;;;x
regent_democracy_title;End the regency.;;;;;;;;;;;;x
regent_democracy_desc;The Hungarian regency has always been a farce. The only legitimate claim to the throne has been denied in Charles IV's coups of 1921, and no further claimants have been produced or sought after since then.;;;;;;;;;;;;x
regent_michael_title;Claim the Hungarian throne.;;;;;;;;;;;;x
regent_michael_desc;Hungary has been without a king since 1920. Despite the absence of a royal head of state the regency has lived on, awaiting a proper claimant to the throne. With the ascendancy and popular support of King Michael I of Romania and the present dominance of Romania over Hungary, an obvious solution is at hand.;;;;;;;;;;;;x
michael_coup_title;King Michael's Coup!;;;;;;;;;;;;x
michael_coup_desc;The $YEAR$ Romanian coup d'etat was a coup d'etat led by King Michael I of Romania. With the support of several political parties, the king removed the government of Ion Antonescu, which had aligned Romania with Nazi Germany, in an opportune moment following the German civil war. Antonescu's policies lead to Romanian expansion east at the unpopular cost of Romanian homeland to the Hungarians and Bulgarians.;;;;;;;;;;;;x
gaw_annex;Great Asian War Annexation;;;;;;;;;;;x
gaw_annex_desc;Annexes China;;;;;;;;;;;;x
gaw_annex_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
gaw_annex_setup;Annex $RECIPIENT$;;;;;;;;;;;;x
NORMAL_GAW_NAME;The Great Asian War;;;;;;;;;;;;x
AGRESSION_GAW_NAME;The Great Asian War;;;;;;;;;;;;x
NORMAL_GCW_NAME;$FIRST$ Intervention in the German Civil War;;;;;;;;;;;;x
AGRESSION_GCW_NAME;$FIRST$ Intervention in the German Civil War;;;;;;;;;;;;x
WCH_pledge_support_title;Support Chinese independence.;;;;;;;;;;;;x
WCH_pledge_support_desc;There are rumors in the east of an independence plot in Japanese controlled China. If we want this to succeed we should support them. §R This decision will ensure we automatically join any Chinese rebellion.;;;;;;;;;;;;x
chi_declare_gaw_title;Declare Chinese independence.;;;;;;;;;;;;x
chi_declare_gaw_desc;All available preparations have been made. Armies have been raised and uprisings readied to strike. Now is the time to free ourselves from the Japanese menace. §R The price of failure means death!;;;;;;;;;;;;x
jap_declare_gaw_title;Military occupation of China.;;;;;;;;;;;;x
jap_declare_gaw_desc;The Japanese industry desparately needs the resources available by direct occupation of China. An escalation of the current client state system into a full occupation will also please the militant political factions who see China as a potential threat of rebellion. §R It is very unlikely for the remaining Chinese nationalists to accept this without a fight.;;;;;;;;;;;;x
jap_gut_cja_title;Purge the Colonial Japanese Army of Chinese elements.;;;;;;;;;;;;x
jap_gut_cja_desc;After the occupation of China in World War 2 many of the former Chinese warlords and their armies were integrated into the C.J.A. with monetary promises. In the outbreak of a full scale rebellion it is unlikely that monetary reward will keep them loyal. A purge of Chinese soldiers is a necessary security measure. §R This will prevent any noncoastal Chinese cores from seceding in the case of a Chinese rebellion.;;;;;;;;;;;;x
jap_annex_mck_title;Integrate the Chinese Occupations.;;;;;;;;;;;;x
jap_annex_mck_desc;The Chinese Occupations have served their purpose for far too long. We should fully integrate them.§R This will also annex the Japanese occupation of the Phillipines if they are in our sphere and at peace.;;;;;;;;;;;;x
polish_israel_title;Welcome the Polish Refugees.;;;;;;;;;;;;x
polish_israel_desc;The only reasonable solution to the present Polish refugee crisis is to accept them and any consequences they may bring. §R The other Turkic Soviet states may not be so receptive. This decision also gives you a sizable number of Polish immigrants;;;;;;;;;;;;x
polish_news;News from the Kazakh steppes rarely reaches the international community, and that which does usually leaves more questions than answers. The state of 'Nowa Polska', a current refuge for Polish exiles from the Reich, has established full military control over Kazakhstan in an attempt to provide a new homeland for the Polish people.;;;;;;;;;;;;x
polish_coup;Early this morning numerous military installations and governmental institutions were siezed by Polish groups consisting of former Polish underground and military members. Their coup has been seen by other Turkic states as a foreign invasion of central Asia and they are mobilizing to intervene.;;;;;;;;;;;;x
NPO_revoke;Intervention in Kazakhstan;;;;;;;;;;;;x
NPO_revoke_short;Reinstate Kazakhstan Government;;;;;;;;;;;;x
NPO_revoke_setup;Reinstate Kazakhstan Government;;;;;;;;;;;;x
NORMAL_NPO_NAME;Turkic Intervention in Kazakhstan;;;;;;;;;;;;x
AGRESSION_NPO_NAME;Turkic Intervention in Kazakhstan;;;;;;;;;;;;x
NPO_survive;Nowa Polska Dominance;;;;;;;;;;;;x
NPO_survive_short;Conquer Turkic Soviet states and assimilate some pops;;;;;;;;;;;;x
NPO_survive_setup;Conquer Turkic Soviet states and assimilate some pops;;;;;;;;;;;;x
reject_poles_title;Ban Polish immigration;;;;;;;;;;;;x
reject_poles_desc;We have no need for these troublemakers!;;;;;;;;;;;;x
CHI_unify_title;Unify China;;;;;;;;;;;;x
CHI_unify_desc;We have secured our position as a dominant power in asia and it is time to reclaim China proper.;;;;;;;;;;;;x
WCH_unify_title;Unify China;;;;;;;;;;;;x
WCH_unify_desc;We have secured our position as a dominant power in asia and it is time to reclaim China proper.;;;;;;;;;;;;x
FEU_getcores_title;Free Europe!;;;;;;;;;;;;x
FEU_getcores_desc;The Poles and Czechoslovak have been under the heel of Germany for too long. Their liberation is imminent!;;;;;;;;;;;;x
FEU_getaccepted_title;From Black sea to the Baltics.;;;;;;;;;;;;x
FEU_getaccepted_desc;Eastern europe is free! It is time to celebrate our victories and embrace our new paneuropean ambition.;;;;;;;;;;;;x
make_democratic;Install Democratic Government;;;;;;;;;;;x
make_democratic_desc;Install a Democratic Government in a target country.;;;;;;;;;;;;x
make_democratic_short;Install a Democratic Government in $RECIPIENT$.;;;;;;;;;;;;;x
make_democratic_setup;Install a Democratic Government in $RECIPIENT$.;;;;;;;;;;;;x
warreps;War reparations;;;;;;;;;;;x
warreps_desc;Demand war reparations from target country.;;;;;;;;;;;;x
warreps_short;Demand war reparations from $RECIPIENT$.;;;;;;;;;;;;;x
warreps_setup;Demand war reparations from $RECIPIENT$.;;;;;;;;;;;;x
poles_left;Polish land vacancies.;;;;;;;;;;;;x
ofn_comeupance;O.F.N. Interest.;;;;;;;;;;;;x
ofn_disinterest;O.F.N. Disinterest.;;;;;;;;;;;;x
ofn_trust_being_considered;This modifier prevents a certain O.F.N. event spam in MP.;;;;;;;;;;;;x
ofn_trust_being_considered2;This modifier prevents a certain O.F.N. event spam in MP.;;;;;;;;;;;;x
ofn_mandate;Enforce O.F.N. Trust Mandate;;;;;;;;;;;;x
ofn_mandate_short;Enforce the O.F.N. Trust Mandate.;;;;;;;;;;;;x
ofn_mandate_setup;Enforce the O.F.N. Trust Mandate.;;;;;;;;;;;;x
ofn_contension;O.F.N. Contension.;;;;;;;;;;;;x
ofn_contimer;O.F.N. Contension Timer.;;;;;;;;;;;;x
event500124desc;$FROMCOUNTRY$ has requested the return of their land in possession of the O.F.N. Trust Territories. They claim that they have fullfilled all obligations and requirements of the Trust Mandate to return the region to democratic rules. The judgement of this claim is entirely up to us.;;;;;;;;;;;;x
recently_requested_ofn_trust;Recently requested O.F.N. Trust return.;;;;;;;;;;;;x
request_OFN_trust_title;Request Our O.F.N. Trust Territory.;;;;;;;;;;;;x
request_OFN_trust_desc;It is time for the O.F.N. to return our territory. We have clearly demonstrated democratic principles and popular rule! There is no way they will refuse us! §R This will have a higher liklihood of succeeding if you have good relations with the O.F.N. leader and allow people to vote.;;;;;;;;;;;;x
ofn_leader;O.F.N. Head.;;;;;;;;;;;;x
has_nukes;Possesses Nuclear Weapons.;;;;;;;;;;;;x
take_OFN_trust_title;Take Our Territory From The O.F.N. Trust;;;;;;;;;;;;x
take_OFN_trust_desc;As the leader of the O.F.N. we have the advantage of being able to reclaim our lands that have been put under a trust mandate without consulting the rest of the organization.;;;;;;;;;;;;x
event500129desc;$FROMCOUNTRY$ is currently trying to rally support to oust us from our position as O.F.N. head. Should we step down or follow through with the election?;;;;;;;;;;;;x
ofn_election_recent;Recent O.F.N. election;;;;;;;;;;;;x
event500132desc;$FROMCOUNTRY$ is requesting to join the O.F.N.! Although the general O.F.N. council is always supportive of new members, the ultimate decision is up to us as the leader of the O.F.N.;;;;;;;;;;;;x
ofn_member;O.F.N. Member;;;;;;;;;;;;x
ofn_try_election_title;Call for an O.F.N. election!;;;;;;;;;;;;x
ofn_try_election_desc;We are obviously more capable of leading the O.F.N. than the current leader. We will call for an election among member states to instate us as the O.F.N. leader. §R Non-AI votes count much more. AI votes are influenced by your country score. (Maxes at 700 for each category.);;;;;;;;;;;;x
ofn_join_title;Apply for O.F.N. Membership!;;;;;;;;;;;;x
ofn_join_desc;The Organization of Free Nations (O.F.N.) was formed in 1947 by the United States of America and the British Commonwealth in Exile. It is an international security council with the aim of protecting democratic nations abroad. In practice it functions as a continuation of the Allied bloc in World War 2. If we have a good relation and possibly an alliance with the O.F.N. leader we have a good shot at being able to join the organization. §R Membership and leadership is visible by a province modifier on people's capitals.;;;;;;;;;;;;x
event500136desc;Horrible news for democracies across the globe today as the continued power vacuum in O.F.N. leadership has lead to the functional dissolution of the organization as a whole. §R This happens because there are no GPs eligible to be the O.F.N. leader!;;;;;;;;;;;;x
event500135desc;Due to a sudden leadership gap from the former O.F.N. leaders fall from influence, $COUNTRY$ has been chosen to lead the O.F.N. in an emergency election. §R This happens because the former O.F.N. leader either fell from GP status or no longer allows voting.;;;;;;;;;;;;x
event500139desc;The O.F.N. annual conference on international freedom occurs every December, usually in the capital of the O.F.N. leader. Topics include ways to reinforce democracy abroad, trade agreements, and occasionally discussions of military interventions.\nThis year $FROMCOUNTRY$ has decided to focus on reinforcing their diplomatic influence in us.;;;;;;;;;;;;x
ofn_annual_trade;O.F.N. Trade Agreements.;;;;;;;;;;;;x
ofn_annual_military;O.F.N. Military Cooperation.;;;;;;;;;;;;x
ofn_annual_diplomacy;O.F.N. Diplomatic Assistance.;;;;;;;;;;;;x
low_repair;Benelux Liberated;;;;;;;;;;;;x
brg_into_low_title;Liberation of the Benelux!;;;;;;;;;;;;x
brg_into_low_desc;With the expulsion of Burgundian rule from French soil and the fall of the National Socialist regime comes an era of a free Benelux! Despite the nominal revolution many of the existing governmental structures put in place by the German occupation remain, and any nationalist separatist movements by the member states are suppressed by the new pan-Beneluxian government.;;;;;;;;;;;;x
request_ghana_title;Request control over Ghana.;;;;;;;;;;;;x
request_ghana_desc;The remnants of the British military have been scattered to their colonies across the globe. They are in no position to contest us if we demand control over Ghana.;;;;;;;;;;;;x
cfr_expand_cores_title;Restore colonial rule!;;;;;;;;;;;;x
cfr_expand_cores_desc;As we reclaim west Africa we solidify our legitimacy on the international stage and reaffirm our position as the legitimate government of France! §RThis decision will core any west African country other than Liberia that has been annexed by us or split between us and another country. It is repeatable until all of the west African countries have been cored.;;;;;;;;;;;;x
